species,x,y
Pinus halepensis,-0.93070125579834,41.9195137023926
Pinus halepensis,-2.90751314163208,37.9594459533691
Fagus sylvatica,0.561184287071228,50.9280052185059
Pinus sylvestris,11.048020362854,49.1317024230957
Pinus radiata,-2.36943531036377,43.1104698181152
Pinus sylvestris,11.6645746231079,50.3384590148926
Quercus petraea,1.23658227920532,49.0909881591797
Fagus sylvatica,-1.48419392108917,43.0962142944336
Picea abies,24.1558151245117,62.4763870239258
Pinus halepensis,0.880535960197449,41.4105758666992
Pinus nigra,1.22780632972717,42.0049667358398
Pinus sylvestris,16.1233062744141,61.7237510681152
Pinus pinaster,-4.52480888366699,40.4046096801758
Pinus sylvestris,23.0992813110352,62.3164291381836
Quercus pubescens,3.10334873199463,43.8992767333984
Pinus pinaster,-3.49040412902832,42.8391876220703
Pinus sylvestris,6.46246480941772,43.9517555236816
Pinus halepensis,-2.90342545509338,37.1533470153809
Pinus sylvestris,5.80665016174316,51.5789527893066
Fagus sylvatica,7.24776697158813,46.9870262145996
Abies alba,8.45952129364014,48.6671943664551
Picea abies,8.41553592681885,47.4786033630371
Acer pseudoplatanus,9.40186786651611,48.1814193725586
Quercus faginea,-0.117701306939125,40.5308876037598
Quercus robur,4.97406768798828,48.3298072814941
Picea abies,13.4486598968506,66.0378189086914
Picea abies,13.6730909347534,53.3507766723633
Pinus pinea,-4.61327171325684,36.6350555419922
Pinus sylvestris,28.552375793457,63.1336784362793
Picea sitchensis,-6.07253313064575,56.5202980041504
Picea abies,14.8598823547363,56.3434715270996
Picea abies,28.6455631256104,66.4671936035156
Pinus sylvestris,25.7450580596924,63.4614486694336
Abies alba,1.10202443599701,42.611270904541
Pinus sylvestris,29.3613510131836,62.7410469055176
Pinus sylvestris,10.7190446853638,59.7692527770996
Picea abies,12.31920337677,48.1856651306152
Quercus frainetto,24.1138229370117,44.8841743469238
Quercus ilex,-4.95603466033936,36.7554244995117
Picea abies,25.3712539672852,62.9918441772461
Pinus nigra,-2.49489164352417,38.2711410522461
Quercus robur,9.30798816680908,52.9640922546387
Pinus sylvestris,12.7827730178833,63.6647415161133
Fagus sylvatica,11.478214263916,55.482593536377
Quercus petraea,8.68698978424072,46.1765022277832
Quercus suber,2.98645162582397,41.7626876831055
Quercus ilex,0.606948792934418,40.8394470214844
Picea abies,5.47400093078613,45.114070892334
Quercus robur,7.77971744537354,49.6004371643066
Pinus sylvestris,15.6945123672485,68.07373046875
Pinus halepensis,-4.62628698348999,39.0314865112305
Pinus mugo,6.38670587539673,44.3643913269043
Pinus sylvestris,20.8437633514404,64.2494735717773
Fagus sylvatica,7.51607418060303,50.1527061462402
Fagus sylvatica,7.84713506698608,47.4328460693359
Acer pseudoplatanus,21.8052673339844,45.0898170471191
Pinus sylvestris,17.4042835235596,59.2897605895996
Quercus ilex,-2.06604528427124,41.1406784057617
Pinus sylvestris,5.99598836898804,52.0535354614258
Pinus sylvestris,25.4815769195557,63.2390556335449
Pinus sylvestris,14.2475309371948,53.6829719543457
Pinus sylvestris,-1.98505294322968,47.9353218078613
Pinus pinaster,-9.17622566223145,43.0915756225586
Acer campestre,17.0109043121338,46.5322570800781
Picea sitchensis,-3.67621970176697,56.5698471069336
Picea abies,6.50283098220825,46.7221870422363
Pinus contorta,-8.54060077667236,53.3049926757813
Acer pseudoplatanus,13.9227085113525,41.5334587097168
Quercus robur,4.77747488021851,47.2205696105957
Pinus pinea,-4.7462100982666,36.568058013916
Pinus pinaster,-9.05051517486572,43.1340522766113
Acer campestre,13.8137168884277,41.5105400085449
Pinus sylvestris,17.3502883911133,60.6447677612305
Fagus sylvatica,-0.848936915397644,42.4109039306641
Pinus sylvestris,-6.05250024795532,55.6863021850586
Picea abies,17.2418441772461,50.1659851074219
Fagus sylvatica,13.5690851211548,47.7830047607422
Quercus robur,-4.30398511886597,43.2666969299316
Pinus contorta,-5.29474878311157,57.4785499572754
Pinus sylvestris,11.8367319107056,49.337459564209
